Unnamed: 0,Poetry Prize,Poetry Accessit(s),Honourable Mention(s),Prose Prize,Prose Accessit(s),Honourable Mention(s).1
1st Edition (1996),Agustin Hermida Castro,,,Beatriz Pineiro Calvo,Sechu Sende,
2nd Edition (1997),Modesto Fraga Moure,Roberto X. Traba Velay,,Marco V. Lama del Corral,Rosa Aneiros Diaz; Pedro Rielo Lamela,
3rd Edition (1998),Antonio Esteban González Alonso,Jose Ricardo Velez Vázquez,,Xabier Castro Garcia,,
4th Edition (1999),Roberto X. Traba Velay,,,Beatriz Pineiro Calvo,,
5th Edition (2000),Baldomero Iglesias Dobarrio,Unai González Suárez,,Jaime Naveria Pedreira,,
6th Edition (2001),Manuel Terrin Benavides,Baldomero Iglesias Dobarrio,,Franciso Calo Lourido,Pedro Uris Escolano,
7th Edition (2002),Simon Iglesias Posse,Salvador Moreno Perez ; Estibaliz Espinosa Rio,,Xose Nicanor Alonso Alvarez,Xaime Naveira Pedreira,
8th Edition (2003),Salvador Moreno Perez ; Alexandre Nerium (shared prize),Francisco Pineiro González,,Xaime Dominguez Toxo,Xoán Xose Garcia Lopez,
9th Edition (2004),Maria Goretti Farina Caamano,Manuel Luque Tapia ; Maria Rey Torrente,,Francisco Pineiro González,Vicente Javier Garcia Gomez ; Andres Albuerne de Frutos,
10th Edition (2005),Maria Teresa Núnez González,Amadeo Cobas ; Unai González Suárez,,Francisco Pineiro González,Julio Romero Suárez Maria ; Teresa Lopez de la Fuente ; Domingo A. Martinez Martin,
11th Edition (2006),Restituto Núnez Cobos,Juan Lorenzo Collado Gomez ; Alba Cid Fernández ; Isabel Oliver González,,Francisco Rozados Rivas,Juan Lorenzo Collado Gomez ; Francisco Pineiro González,
12th Edition (2007),Carmen Carames Gorgal,Alfredo Macias Macias ; Manuel Luque Tapia,,Rafael Laso Lorenzo,Francisco Pineiro González ; Iván Garcia Campos,
13th Edition (2008),Feliciano Ramos Navarro,Jose M. Lopez Calo ; Cristalina Lopez Rodriguez,,Moises Alvarez Jorge,Carmen Cuevas Crespo ; Julio Romero Suárez,
14th Edition (2009),Alba Cid Fernández,Sara Castelar Lorca ; Mª Isabel Gomez Arto,,Alberto Rodriguez Diaz,Juan Jose Ruiz Monino ; Isabel Julián Quiroga,
15th Edition (2010),Emma Pedreira,Manuel Garcia Diaz Pintado ; Rosa Pineiro Farina,,Pepe Pol,Noa Maria Carballa Rivas ; Mercedes Blanco Iglesias,
16th Edition (2011),Beatriz Lorenzo,Jose Maria Calo ; Pablo Núnez González ; Marcial González Vigo,,Xose Manuel Dopazo Mella,Noa Maria Carballa Rivas ; Mercedes Blanco Iglesias,
17th Edition (2012),Jose Antonio Repeto González,Xose Otero Canto ; Marcial González Vigo,Margarita Souviron Lopez ; Yoli Lopez,Erick Hernández Mora,Pepe Pol ; Xaime Dominguez Toxo,Sofia Rodriguez Suárez ; Marcos Dios Almeida
18th Edition (2013),Ramon Sandoval Perez,Luis Garcia Perez ; Jacobo Llamas Martinez,Xose Otero Canto ; Mercedes Saenz Blasco ; Jose Gabriel Rodriguez Ambrosio,Manrique Fernández Vázquez,Xose Farruco Grana Rama ; Jose Luis Hernández Garvi,Jose Ángel Corral Suárez ; Antonio Garrigo Jimenez
