Year,Name,Date,Stages,Distance,Winner,Time
1982.0,Marlboro Tour,,15,"2,192 km",Jacinto Sicam (PHI),61:29:17
1983.0,Marlboro Tour,,14,"2,313.11 km",Romeo Bonzo (PHI),63:54:31
1984.0,Marlboro Tour,,14,"2,464 km",Ruben Carino (PHI),68:08:49
1985.0,Marlboro Tour,,21,"3,668.97 km",Pepito Calip (PHI),97:04:42
1986.0,Marlboro Tour,,10,"2,900.77 km",Rolando Pagnanawon (PHI),77:39:53
1987.0,Marlboro Tour,,17,"3,282 km",Reynaldo Dequito (PHI),88:06:50
1988.0,Marlboro Tour,,17,"3,544.53 km",Armando Catalan (PHI),94:44:03
1989.0,Marlboro Tour,,18,"3,539.47 km",Gerardo Igos (PHI),95:40:23
1990.0,Marlboro Tour,,18,"3,317.42 km",Manuel Buenaventura (PHI),95:58:38
1991.0,Marlboro Tour,,17,"2,373.61 km",Bernardo Llentada (PHI),63:33:17
1992.0,Marlboro Tour,,17,"2,731.38 km",Renato Dolosa (PHI),71:21:49
1993.0,Marlboro Tour,,21,"3,480 km",Carlo Guieb (PHI),91:41:54
1994.0,Marlboro Tour,,20,"3,563 km",Carlo Guieb (PHI),91:24:13
1995.0,Marlboro Tour,,19,"3,280.33 km",Renato Dolosa (PHI),83:43:39
1996.0,Marlboro Tour,,19,"3,257.29 km",Victor Espiritu (PHI),80:50:46
1997.0,Marlboro Tour,,16,"2,472 km",Wong Kam-po (HKG),62:06:28
1998.0,Marlboro Centennial Tour,,16,"2,494 km",Warren Davadilla (PHI),64:58:57
,Cancelled,Cancelled,Cancelled,Cancelled,Cancelled,Cancelled
