Sl no,Name of the prabandham,Starting from,Ending with,Number of pasurams,Sung by
1.0,Periazhvar Thirumozhi,1.0,473.0,473,Periyalvar
2.0,Thiruppavai,474.0,503.0,30,Aandaal
3.0,Nachiar Tirumozhi,504.0,646.0,143,Aandaal
4.0,Perumal Thirumozhi,647.0,751.0,105,Kulasekara alvar
5.0,Thiruchchanda Viruththam,752.0,871.0,120,Thirumalisai alvar
6.0,Thirumalai,872.0,916.0,45,Thondaradippodi alvar
7.0,Thiruppalliyezhuchchi,917.0,926.0,10,Thondaradippodi alvar
8.0,Amalanadhi piran,927.0,936.0,10,Thiruppaan alvar
9.0,Kanni Nun Siruththambu,937.0,947.0,11,Madhurakavi Alvar
10.0,Peria Thirumozhi,948.0,2031.0,1084,Thirumangai alvar
11.0,Kurun Thandagam,2032.0,2051.0,20,Thirumangai alvar
12.0,Nedum Thandagam,2052.0,2081.0,30,Thirumangai alvar
13.0,Mudhal Thiruvandhadhi,2082.0,2181.0,100,Poigai Alvar
14.0,Irandam Thiruvandhadhi,2182.0,2281.0,100,Bhoothathalvar
15.0,Moonram Thiruvandhadhi,2282.0,2381.0,100,Peyalvar
16.0,Naanmugan Thiruvandhadhi,2382.0,2477.0,96,Thirumalisai alvar
17.0,Thiruviruththam,2478.0,2577.0,100,Nammalvar
18.0,Thiruvasiriyam,2578.0,2584.0,7,Nammalvar
19.0,Peria Thiruvandhadhi,2585.0,2671.0,87,Nammalvar
20.0,Thiruvezhukkurrirukkai,2672.0,2672.0,1,Thirumangai alvar
21.0,Siriya Thirumadal,2673.0,2673.0,1,Thirumangai alvar
22.0,Peria Thirumadal,2674.0,2674.0,1,Thirumangai alvar
23.0,Thiruvay Mozhi,2674.0,3776.0,1102,Nammalvar
,Total number of pasurams,,,3776,
