Team 1,Agg.,Team 2,1st leg,2nd leg
Valladolid Promesas,,Elche,,
Pena Sport,,Valladolid,,
Algeciras,,Real Madrid,,
Real Madrid Castilla,,Sabadell,,
Leganes,,Eldense,,
Ciempozuelos,,Lleida,,
Alcalá,,Valencia,,
Burgos,,Huesca,,
Ceuta,,Espanyol,,
Atletico Baleares,,Cádiz,,
Tudelano,,Sporting Gijon,,
Figueres,,Racing Santander,,
Carabanchel,,Calvo Sotelo,,
Almansa,,Rayo Vallecano,,
Osasuna,,Guadalajara,,
Deportivo,,Plasencia,,
Europa,,Málaga,,
Jaen,,Real Union,,
Ontinyent,,Torrejon,,
Girona,,Alcoyano,,
Valencia Mestalla,,Sevilla Atletico,,
Espanol Raspeig,,Mirandes,,
Toledo,,Badajoz,,
Talavera,,Arosa,,
Sarinena,,Rayo Cantabria,,
San Fernando,,Nàstic Tarragona,,
Sevilla,,Sant Andreu,,
Orihuela,,Alaves,,
Oviedo,,Cultural Leonesa,,
Langreo,,Granada,,
Racing Ferrol,,Real Murcia,,
Levante,,Moscardo,,
Real Sociedad,,Xerez,,
Marbella,,Gimnástica Torrelavega,,
Cordoba,,Bilbao Athletic,,
Recreativo,,Linense,,
Reus,,Zaragoza,,
Celta,,Cartagena,,
Tenerife,,Malgrat,,
La Cava,,Linares,,
Gavà,,Castellon,,
Fabril,,Hercules,,
