unnamed: 0,chinese,pinyin,cantonese yale,hakka pinjim
^ Ma Ling-Yee,馬寧兒,Mǎ Ninger,Ma5 Ning4 Yi4,
^ Fung Do-Dak,馮道德,Feng Dàode,Fung4 Dou6 Dak1,
^ Gwong Wai,廣慧禪師,Guǎng Huì Chán Shī,Gwong2 Wai6 Sim3 Si1,
^ Juk Faat Wan,竺法雲禪師,Zhú Fǎ Yún Chán Shī,Juk1 Faat3 Wan4 Sim3 Si1,
^ Fung Foh Do Yan,風火道人,Fēng Huǒ Dào Ren,Fung1 Fo2 Dou6 Yan4,
^ Lau Siu-Leung,刘少良,Liú Shǎoliáng,Lau4 Siu2 Leung4,
^ Shek Lam,石林,Shi Lin,Sek6 Lam4,Shak8 Lam2
^ Wanderer Style,流民派,Liúmin Pài,Lau4 man4 Paai1,Liu2 min2 Pai5
^ Lei Mung,李朦,Lǐ Meng,Lei5 Mung4,Li3 Mung2
^ Lin Sang,蓮生,Lián Shēng,Lin4 Sang1,Len2 Sang1
