First Name,Surname,Death year,Beginning of service,End of service,Notes
Pilzbach,Johann Adam,1802.0,1772,1776,
Fritsch,Lorenz,,1794,1798,
Kempf,Laurentius,,1798,1812,
Aizele,Matthias,1856.0,1812,1836,
Bottka,Paul,1872.0,1836,1845,
Vendeschu,Augustin Johann,1896.0,1845,1846,
Einsner,Georg,,1846,1870,
Bartl,Anton,1897.0,1870,1893,
Löschardt,Ferdinand,1914.0,1893,1899,
Pallanik,Johann,1922.0,1888,1910,
Seitz,Michael,1930.0,1883,1892,
Amschlinger,Franz,1946.0,1894,1903,
Gehl,Othmar,1951.0,1892,1903,
Rothmayer,Siegmund,1902.0,1899,1902,
Schummer,Rudolf,1944.0,1893,1907,
Schutz,Nikolaus,,1899,1901,
Eisele,Matthias,1944.0,1901,1906,
Dietl,August Gustav,1928.0,1901,1912,
Misenko,Josef,,1902,1909,
Pálya,Matthias,1915.0,1903,1915,
Simonich,Maximilian,,1903,1915,
Schiller Szántho,Geza,1950.0,1908,1909,
Elsner,Josef,1965.0,1911,1926,
Schrotz,Stefan,1967.0,1912,1923,
Fiedler,Stefan,,1916,1923,
Hager,Nikolaus,,1917,1926,
Fulda,Paul,,1922,,
Blaskovics,Adalbert,1981.0,1912/1956,1929/1981,
Rudolf,Josef,,1912,1921,
Waltner,Josef,1986.0,1920,1923,
Rech,Karl Geza,1956.0,1924,1925,
Szekely,Franz,,1923,1930,
Toth,Stefan,,1936,1943,
Lischerong,Matthias,1950.0,1925,1950,
Strubert,Peter,1956.0,1924,1932,
Wild,Josef,1961.0,1927,1933,
Lindnder,Wendelin,,1925,1929,
Eisele,Josef,1981.0,1926,1931,
Juhász,Tibor,,1930,1938,
Kauschitz,Antonius,,1933,1939,
Benz,Johannes,1985.0,1936,1942,
Janisch,Desiderius,,1934,1941,
Hönig,Franz,,1926,1931,
Brosos,Ludwig,,1933,1938,
Hardt,Alfons,,1927,1930,
Hauptamnn,Ferdinand,1989.0,,,"Ordained as a priest at Reșița on March, 29th 1936"
Hampel,Karl,,1934,1937,
Willw,Andreas,,1941,1946,
Schwartz,Josef,,1942,1946,
Gerstenengst,Josef,1992.0,1946,1958,
Vöö,Peter,,1940,1941,
Lackner,Paul,1987.0,1946,1987,
Kokos,Alexander,1954.0,1953,1954,
Buding,Zoltan,1996.0,1955/1995,1956/1996,
Katic,Theodor,,1955,,
Borth,Nikolaus Pater Gottfried,,1958,1959,
Demele,Vencel,1999.0,1959,1963,
Neu,Anton,,1963,1965,
Babeu,Mihai,,1965,1972,
Fritz,Anton,,1972,1974,
Hajdu,Josef,,1974,1976,
Höher,Otto,2006.0,1976,1978,
Dobra,Petar,,1977,1979,
Henger,Michael,,1978,1980,
Nagy,Carol,,1979,1987,
Dragomir,Andrei Gheorghe,,1980,1982,
Lovasz,Reinhold,,1982,,
Muțiu,Petru,,1983,,
Matei,Peter Gottlieb,,1983,1988,
Pál,Jozsef Csaba,,1987,,
Szöcs,Lászlo,,1987,1988,
Medek,Ioan Siegfried,,1988,1989,
Catici,Gheorghe,,1988,1992,
Balogh,András,,1988,1989,
Wonerth,Lászlo,,1989,1990,
Ebenspanger,Ferenc,,1989,1990,
Zarioiu,Iuliu,,1990,1991,
Grega,Bertram,,1991,1993,
Groza,Dán,,1992,1993,
Debert,Reiner,,1993,1994,
Pălie,Veniamin,,1994,1996,
György,Zoltán,,1996,1998,
Altman,Josef,,1997,1999,
Conceangă,Ulderic,,1997/2001,2003,
Fechetă,Virgil,,1998,1999,
Țâmpu,Petru,,1999,2001,
Jäger,Martin,,2002,2004,
Rebegilă,Petru,,2004,2006,
Lucacela,Davor,,2006,2008,
Kozovits,Attila,,2008,2009,
Lunic,Daniel,,2009,2011,
Varga,János,,2013,,
