num,title,producers,guest performers,length
1.0,"\Throw Aways\""""",Maj & Sosa,Gorilla Zoe & Yung Joc,3:11
2.0,"\I'm A Gangsta\""""",Drew,,4:16
3.0,"\Life Goes On Interlude #1""",,Lil' Duval,0:58
4.0,"\Screwed Up\""""",Mr. Lee,Lil' Wayne,5:02
5.0,"\Against All Odds\""""",Q-Stone,2Pac,4:22
6.0,"\Life Goes On Interlude #2""",,Lil' Duval,1:12
7.0,"\Nuthin' 2 A Boss\""""",I.N.F.O. & NOVA,Slim Thug,3:59
8.0,"\Life Goes On\""""",Goichi & Mike Dean,L. Boogie,4:11
9.0,"\Smile\""""",Sean T,Jadakiss & Styles P,4:32
10.0,"\Life Goes On Interlude #3""",,Lil' Duval,1:12
11.0,"\Give My Last Breathe Intro\""""",Mike Dean,,1:40
12.0,"\Give My Last Breathe\""""",Mr. Lee,,4:23
13.0,"\Gittin' High\""""",Mr. Rogers,,4:06
14.0,"\Life Goes On Interlude #4""",,Lil' Duval,1:00
15.0,"\Ghetto Queen\""""",I.N.F.O. & NOVA,Lloyd & Rich Boy,5:00
16.0,"\Million Bucks\""""",Platinum Hands,Jay'Ton & Lil' Boss,4:43
17.0,"\C Me Ride\""""",Nitti,,4:51
18.0,"\I'm Good\""""",I.N.F.O. & NOVA,Jody Breeze,4:21
19.0,"\The Truth\""""",I.N.F.O. & NOVA,,4:07
20.0,"\Life Goes On\"" (Outro)""",,Lil' Duval,0:38
