skip,third,second,lead,events
Arnold Asham,David Nedohin,Sean Nedohin,Don Rudd,
Dale Duguid,James Kirkness,David Nedohin,Doug Armstrong,
David Nedohin (fourth),Randy Ferbey (skip),Carter Rycroft,Pat McCallum,
David Nedohin (fourth),Randy Ferbey (skip),Scott Pfeifer,Carter Rycroft,
David Nedohin (fourth),Randy Ferbey (skip),Scott Pfeifer,Marcel Rocque,"2001 Alta., Brier, WCC"
David Nedohin (fourth),Randy Ferbey (skip),Scott Pfeifer,Marcel Rocque,"2002 Alta., Brier, WCC"
David Nedohin (fourth),Randy Ferbey (skip),Scott Pfeifer,Marcel Rocque,"2003 Alta., Brier, WCC"
David Nedohin (fourth),Randy Ferbey (skip),Scott Pfeifer,Marcel Rocque,"2004 Alta., Brier"
David Nedohin (fourth),Randy Ferbey (skip),Scott Pfeifer,Marcel Rocque,"2005 Alta., Brier, WCC"
David Nedohin (fourth),Randy Ferbey (skip),Scott Pfeifer,Marcel Rocque,2008 Alta.
David Nedohin (fourth),Randy Ferbey (skip),Scott Pfeifer,Marcel Rocque,2009 Alta.
David Nedohin (fourth),Randy Ferbey (skip),Scott Pfeifer,Marcel Rocque,"2009 COCT, 2010 Alta."
Randy Ferbey,David Nedohin,Blayne Iskiw,David Harper,2011 Alta.
David Nedohin (fourth),Randy Ferbey (skip),Ted Appelman,Brendan Melnyk,
David Nedohin,Colin Hodgson,Mike Westlund,Tom Sallows,
Kevin Martin,David Nedohin,Marc Kennedy,Ben Hebert,"2013 COCT, 2014 Alta."
