riding,candidate,gender,residence,occupation,votes,percentage,rank,biographical notes
Cape BretonCanso,Mark MacNeill,M,Inverness,Government and Business Policy Advisor,7660,21.1,3rd,"Served in Ottawa as a consultant with National Advisory Board on Science and Technology, with the Treasury Board Secretariat and the Solicitor General's Aboriginal Policing Secretariat."
Central Nova,Mary Louise Lorefice,F,Antigonish,Retired educator,7659,19.6,3rd,"Lorefice is a retired teacher from Antigonish, who has lived in the community for 38 years."
CumberlandColchesterMusquodoboit Valley,Karen Olsson,F,North River,Stay-at-home Mother,4874,12.3,2nd,
DartmouthCole Harbour,Brad Pye,M,"Ottawa, ON",Senior Political Party Program Officer,12793,31.5,2nd,Pye is an international development worker and son of former Dartmouth North MLA Jerry Pye.
Halifax,Megan Leslie,F,Halifax,Community Legal Worker,19252,42.7,1st,
Halifax West,Tamara Lorincz,F,Halifax,Director of Nova Scotia Environment Network,12201,29.6,2nd,An environmentalist.
KingsHants,Carol E. Harris,F,Wolfville,University Professor,8291,22.0,3rd,She was the NDP's candidate in the 2000 election in EsquimaltJuan de Fuca.
SackvilleEastern Shore,Peter Stoffer,M,Windsor Junction,Parliamentarian,24279,61.4,1st,Stoffer has been the incumbent MP since 1997.
South ShoreSt. Margaret's,Gordon S. Earle,M,Upper Tantallon,Retired Public Servant,13456,33.7,2nd,
SydneyVictoria,Wayne McKay,M,Sydney,Teacher,8559,24.4,2nd,
West Nova,George Barron,M,Bear River,Paramedic,7097,16.9,3rd,"Barron was born near Paris, Ontario, he has been a paramedic for 22 years. He was nominated on October 28, 2007."
