institution,city,state,team name,affiliation,enrollment,home conference
Augustana College (Illinois),Rock Island,Illinois,Vikings,Private/Lutheran,2500,CCIW
Aurora University,Aurora,Illinois,Spartans,Private/Non-sectarian,1685,Northern
Beloit College,Beloit,Wisconsin,Buccaneers,Private/Non-sectarian,1300,Midwest
Benedictine University,Lisle,Illinois,Eagles,Private/Catholic,3282,Northern
Carthage College,Kenosha,Wisconsin,Red Men,Private/Lutheran,2188,CCIW
Concordia University Wisconsin,Mequon,Wisconsin,Falcons,Private/Lutheran,1608,Northern
University of Dubuque*,Dubuque,Iowa,Spartans,Private/Presbyterian,1559,IIAC
Elmhurst College**,Elmhurst,Illinois,Bluejays,Private/United Church of Christ,3400,CCIW
Fontbonne University,St. Louis,Missouri,Griffins,Private/Catholic,2924,SLIAC
College of Mount St. Joseph,Cincinnati,Ohio,Lions,Private/Catholic,1334,HCAC
North Central College,Naperville,Illinois,Cardinals,Private/Methodist,2900,CCIW
