Volume,Year,Names,Articles,Pages,Images,Maps,Number of copies
1.0,1974.0,Ա-ԱՐԳԻՆԱ,3442.0,720.0,1294.0,75.0,100000.0
2.0,1976.0,ԱՐԳԻՇՏԻ-ԳԵՂԵՐՎԱՆ,3503.0,720.0,1798.0,75.0,100000.0
3.0,1977.0,ԳԵՂԵՑԻԿԸ-ԶՈՒՐԱԲՅԱՆ,3509.0,720.0,1726.0,53.0,100000.0
4.0,1978.0,Է-ԽԱՂԽԱՂ,3451.0,720.0,1228.0,53.0,100000.0
5.0,1979.0,ԽԱՂՈՂ-ԿՈՒԼԻՍՆԵՐ,3694.0,720.0,1326.0,68.0,100000.0
6.0,1980.0,ԿՈՒԼԶՈՐ-ՁՈՒԼՈՒԿ,3108.0,720.0,1097.0,64.0,100000.0
7.0,1981.0,ՁՈՒԼՈՒՄ-ՄՈՆՈՊԽՈՆՔ,3250.0,720.0,1436.0,46.0,100000.0
8.0,1982.0,ՄՈՆՈՊՈԼԻԱ-ՉԵՉԵՐԵԿ,3145.0,720.0,1274.0,70.0,100000.0
9.0,1983.0,ՉԵՉՔԱՐ-ՌՍՏԱԿԵՍ,3185.0,720.0,1046.0,60.0,100000.0
10.0,1984.0,ՌՍՏԱՄ-ՍՍՀՄ,2009.0,736.0,1065.0,61.0,100000.0
11.0,1985.0,ՍՈՎԵՏԱԿԱՆ-ՏԻԵԶԵՐՔ,2970.0,720.0,958.0,67.0,100000.0
12.0,1986.0,ՏԻԵՊՈԼՈ-ՖՈՒՔՍԻՆ,3501.0,752.0,1015.0,96.0,100000.0
,,Ա-ՖՈւՔՍԻՆ,36767.0,8688.0,15263.0,858.0,1200000.0
13.0,1987.0,ՍՈՎԵՏԱԿԱՆ ՀԱՅԱՍՏԱՆ,,,,,
