Rank,Athlete,Nationality,2.15,2.20,2.24,2.27,Result,Notes
1.0,Yaroslav Rybakov,Russia,o,o,o,o,2.27,q
1.0,Andriy Sokolovskyy,Ukraine,o,o,o,o,2.27,q
1.0,Stefan Holm,Sweden,o,o,o,o,2.27,q
1.0,Andrey Tereshin,Russia,o,o,o,o,2.27,q
1.0,Victor Moya,Cuba,o,o,o,o,2.27,"q, PB"
1.0,Linus Thörnblad,Sweden,o,o,o,o,2.27,q
7.0,Giulio Ciotti,Italy,o,o,o,xxx,2.24,q
8.0,Robert Wolski,Poland,xo,o,o,xxx,2.24,q
9.0,Ramsay Carelse,South Africa,xo,xo,o,xxx,2.24,
10.0,Tora Harris,United States,o,o,xo,xxx,2.24,
10.0,Nicola Ciotti,Italy,o,o,xo,xxx,2.24,
10.0,Wojciech Theiner,Poland,o,o,xo,xxx,2.24,
13.0,Tomáš Janku,Czech Republic,o,o,xxo,xxx,2.24,
13.0,Mustapha Raifak,France,o,o,xxo,xxx,2.24,
15.0,Svatoslav Ton,Czech Republic,o,xo,xxx,,2.2,
16.0,Adam Shunk,United States,o,xxx,,2.15,,
16.0,Roman Fricke,Germany,o,xxx,,2.15,,
