Year,Date,Winner,Result,Loser,Attendance,Location
1980,Oct 19,Chicago Bears,24-7,Detroit Lions,,"Chicago, Illinois"
1980,Nov 27,Chicago Bears,23-17 (OT),Detroit Lions,58508.0,"Pontiac, Michigan"
1981,Oct 19,Detroit Lions,48-17,Chicago Bears,75397.0,"Pontiac, Michigan"
1981,Nov 22,Detroit Lions,23-7,Chicago Bears,71273.0,"Chicago, Illinois"
1982,Sept 12,Detroit Lions,17-10,Chicago Bears,50082.0,"Pontiac, Michigan"
1982,Nov 21,Chicago Bears,20-17,Detroit Lions,46783.0,"Chicago, Illinois"
1983,Oct 16,Detroit Lions,,Chicago Bears,66709.0,"Pontiac, Michigan"
1983,Oct 30,Detroit Lions,38-17,Chicago Bears,58764.0,"Chicago, Illinois"
1984,Nov 18,Chicago Bears,16-14,Detroit Lions,54911.0,"Chicago, Illinois"
1984,Dec 16,Chicago Bears,30-13,Detroit Lions,53252.0,"Pontiac, Michigan"
1985,Nov 10,Chicago Bears,24-3,Detroit Lions,53467.0,"Chicago, Illinois"
1985,Dec 22,Chicago Bears,37-17,Detroit Lions,74042.0,"Pontiac, Michigan"
1986,Oct 26,Chicago Bears,13-7,Detroit Lions,62064.0,"Chicago, Illinois"
1986,Dec 15,Chicago Bears,16-13,Detroit Lions,75602.0,"Pontiac, Michigan"
1987,Nov 22,Chicago Bears,30-10,Detroit Lions,63357.0,"Chicago, Illinois"
1988,Oct 9,Chicago Bears,,Detroit Lions,64526.0,"Pontiac, Michigan"
1988,Dec 11,Chicago Bears,13-12,Detroit Lions,55010.0,"Chicago, Illinois"
1989,Sept 24,Chicago Bears,47-27,Detroit Lions,71418.0,"Pontiac, Michigan"
1989,Dec 10,Detroit Lions,27-17,Chicago Bears,52650.0,"Chicago, Illinois"
