date,tournament,winner,purse ($),notes
25 Feb,Pinamar Open,Miguel Rodriguez,70000.0,
3 Mar,South Open,Rafael Gomez,100000.0,
10 Mar,Parana Open,Julio Zapata,70000.0,
8 Apr,Norpatagonico Open,Luciano Dodda (amateur),,PGA Argentina- No valid TPG
15 Apr,Center Open,Ángel Cabrera,200000.0,Co-sanctioned by the TLA
22 Apr,Ángel Cabrera Classic,Rafael Gomez,120000.0,
29 Apr,Chaco Open,Fabián Gomez,70000.0,
9 Jun,North Open,"Ricardo González, Andres Romero (tie)",80000.0,
10 Jul,Metropolitano Open,Jose Coceres,,PGA Argentina- No valid TPG
11 Aug,Misiones Open,Sergio Acevedo,70000.0,
19 Aug,Carlos Franco Invitational,Marco Ruiz,93000.0,
29 Sep,Salta Open,Andres Romero,80000.0,
7 Oct,Tandil Open,Diego Ortiz,70000.0,
27 Oct,Argentine Masters,Ángel Cabrera,420000.0,Co-sanctioned by the TLA
4 Nov,Mendoza Open,Rafael Echenique,80000.0,
11 Nov,Roberto de Vicenzo Classic,Miguel Guzmán,120000.0,
25 Nov,San Luis Open,Emilio Dominguez,450000.0,Co-sanctioned by the TLA
2 Dec,Abierto del Litoral,Miguel Rodriguez,520000.0,Co-sanctioned by the TLA and Challenge Tour
9 Dec,Argentine Open,Marco Ruiz,600000.0,Co-sanctioned by the TLA and Challenge Tour
