Place,Position,Number,Name,League Two,FA Cup,League Cup,FL Trophy,Total
1,MF,4.0,Ryan Hall,10,1,0,3,14
2,DF,6.0,Bilel Mohsni,13,0,0,0,13
3,FW,22.0,Liam Dickinson,10,1,0,1,12
4,FW,9.0,Neil Harris,9,0,0,1,10
5,DF,15.0,Mark Phillips,7,0,1,0,8
6,MF,12.0,Kane Ferdinand,7,0,0,0,7
7,MF,8.0,Michael Timlin,4,0,0,0,4
8,MF,14.0,Dave Martin,3,0,0,0,3
=,DF,3.0,Peter Gilbert,3,0,0,0,3
10,FW,24.0,Elliot Benyon,2,0,0,0,2
=,FW,37.0,Freddy Eastwood,2,0,0,0,2
12,MF,18.0,Ryan Leonard,1,0,0,0,1
=,FW,21.0,Blair Sturrock,0,0,0,1,1
=,MF,19.0,Jean-Paul Kalala,1,0,0,0,1
=,DF,16.0,Luke Prosser,1,0,0,0,1
=,MF,7.0,Anthony Grant,1,0,0,0,1
=,DF,23.0,Chris Barker,1,0,0,0,1
,,,Own goals,4,0,0,0,4
,,,TOTALS,79,2,1,6,88
