date,location,opponent,result,competition
"January 19, 2013","Concepcion, Chile",Chile,,F
"February 6, 2013","Santa Cruz de la Sierra, Bolivia",Bolivia,,F
"March 20, 2013","Muscat, Oman",Oman,,F
"March 24, 2013","Santo Domingo, Dominican Republic",Dominican Republic,,F
"June 8, 2013","Miami, United States",Spain,,F
"June 11, 2013","Rio de Janeiro, Brazil",Italy,,F
"July 8, 2013","Harrison, United States",Honduras,,GC
"July 12, 2013","Miami Gardens, United States",Trinidad and Tobago,2-0,GC
"July 15, 2013","Houston, United States",El Salvador,0-1,GC
"September 6, 2013","Incheon, South Korea",South Korea,1-4,F
"March 5, 2014","Mitrovica, Kosovo",Kosovo,,F
