Match,Date,Ground,Opponent,Score1,Pos.,Pts.,GD
1,15 August,A,Bayer Uerdingen,,1,2,3
2,22 August,H,1. FC Kaiserslautern,,1,4,4
4,29 August,H,Dynamo Dresden,,1,6,6
5,2 September,A,1. FC Köln,,1,8,8
6,5 September,H,Hamburger SV,,1,10,12
7,19 September,H,SG Wattenscheid 09,,1,11,12
8,25 September,A,Borussia Dortmund,,1,13,13
9,3 October,H,Borussia Mönchengladbach,,1,14,13
10,17 October,A,1. FC Saarbrucken,,1,15,13
11,24 October,H,Werder Bremen,,1,15,11
3,27 October,A,Eintracht Frankfurt,,1,16,11
12,31 October,A,VfB Stuttgart,,1,18,12
13,14 November,H,1. FC Nurnberg,,1,20,13
14,21 November,A,Bayer Leverkusen,,1,22,15
15,28 November,H,Karlsruher SC,,1,23,15
16,5 December,A,VfL Bochum,,1,24,15
17,12 December,H,Schalke 04,,1,25,15
18,20 February,H,Bayer Uerdingen,,1,27,17
19,27 February,A,1. FC Kaiserslautern,,1,29,19
20,6 March,H,Eintracht Frankfurt,,1,31,20
21,13 March,A,Dynamo Dresden,,1,32,20
22,20 March,H,1. FC Köln,,1,34,23
23,28 March,A,Hamburger SV,,1,34,21
24,2 April,A,SG Wattenscheid 09,,1,34,19
25,10 April,H,Borussia Dortmund,,1,36,21
26,17 April,A,Borussia Mönchengladbach,,1,37,21
27,23 April,H,1. FC Saarbrucken,,1,39,27
28,26 April,A,Werder Bremen,,1,39,24
29,30 April,H,VfB Stuttgart,,1,41,26
30,8 May,A,1. FC Nurnberg,,1,42,26
31,15 May,H,Bayer Leverkusen,,1,44,29
32,23 May,A,Karlsruher SC,,1,44,27
33,29 May,H,VfL Bochum,,2,46,29
34,5 June,A,Schalke 04,,2,47,29
