round,pick,player,position,nationality,team,college
T,,Wilt Chamberlain^,C,United States,Philadelphia Warriors,Kansas
T,,Bob Ferry,F/C,United States,St. Louis Hawks,Saint Louis
1,1.0,Bob Boozer+,F,United States,Cincinnati Royals,Kansas State
1,2.0,Bailey Howell^,F,United States,Detroit Pistons,Mississippi State
1,3.0,Tom Hawkins,F,United States,Minneapolis Lakers,Notre Dame
1,4.0,Dick Barnett+,G/F,United States,Syracuse Nationals,Tennessee State
1,5.0,Johnny Green+,F/C,United States,New York Knicks,Michigan State
1,6.0,John Richter,F,United States,Boston Celtics,NC State
2,7.0,Tom Robitaille#,F/C,United States,Detroit Pistons (from Cincinnati),Rice
2,8.0,Don Goldstein#,F,United States,Detroit Pistons,Louisville
2,9.0,Joe Ruklick,F/C,United States,Philadelphia Warriors,Northwestern
2,10.0,Rudy LaRusso+,F/C,United States,Minneapolis Lakers,Dartmouth
2,11.0,Bumper Tormohlen,F/C,United States,Syracuse Nationals,Tennessee
2,12.0,Al Seiden#,G,United States,St. Louis Hawks (from New York),St. John's
2,13.0,Cal Ramsey,F,United States,St. Louis Hawks,NYU
2,14.0,Gene Guarilia,F,United States,Boston Celtics,George Washington
3,15.0,Mike Mendenhall,G,United States,Cincinnati Royals,Cincinnati
3,16.0,Gary Alcorn,C,United States,Detroit Pistons,Fresno State
3,17.0,Jim Hockaday,F,United States,Philadelphia Warriors,Memphis
3,18.0,Bobby Smith,G,United States,Minneapolis Lakers,West Virginia
3,19.0,Jon Cincebox,F,United States,Syracuse Nationals,Syracuse
3,20.0,Bob Anderegg,G/F,United States,New York Knicks,Michigan State
3,21.0,Hank Stein,G,United States,St. Louis Hawks,Xavier
3,22.0,Ralph Crosthwaite,C,United States,Boston Celtics,Western Kentucky
4,23.0,Leo Byrd,G,United States,Cincinnati Royals,Marshall
4,24.0,George Lee,G/F,United States,Detroit Pistons,Michigan
4,25.0,Ron Stevenson,F,United States,Philadelphia Warriors,TCU
4,26.0,Wilson Eison,F,United States,Minneapolis Lakers,Purdue
4,27.0,Paul Neumann,G,United States,Syracuse Nationals,Stanford
4,28.0,Johnny Cox,G,United States,New York Knicks,Kentucky
4,29.0,Lee Harman,G,United States,St. Louis Hawks,Oregon State
4,30.0,Ed Kazakavich,F,United States,Boston Celtics,Scranton
5,31.0,Harry Kirchner,G/F,United States,Detroit Pistons,TCU
5,32.0,Tony Windis,G,United States,Detroit Pistons,Wyoming
5,37.0,Nick Mantis,G,United States,St. Louis Hawks,Northwestern
8,56.0,Dave Gunther,F,United States,Philadelphia Warriors,Iowa
11,77.0,John Barnhill,G,United States,St. Louis Hawks,Tennessee State
14,83.0,Jack Israel,G/F,United States,New York Knicks,Missouri State
