num,Date,Visitor,Score,Home,Record
21,"December 2, 1976",San Antonio Spurs,116-124,Golden State Warriors,11-10
22,"December 3, 1976",San Antonio Spurs,,Los Angeles Lakers,11-11
23,"December 5, 1976",San Antonio Spurs,,Phoenix Suns,11-12
24,"December 8, 1976",Atlanta Hawks,,San Antonio Spurs,11-13
25,"December 10, 1976",San Antonio Spurs,,Milwaukee Bucks,
26,"December 11, 1976",New Orleans Jazz,,San Antonio Spurs,13-13
27,"December 14, 1976",New York Knicks,,San Antonio Spurs,
28,"December 15, 1976",San Antonio Spurs,,Indiana Pacers,
29,"December 17, 1976",San Antonio Spurs,,Chicago Bulls,14-15
30,"December 19, 1976",San Antonio Spurs,,Cleveland Cavaliers,14-16
31,"December 21, 1976",Golden State Warriors,,San Antonio Spurs,15-16
32,"December 23, 1976",Washington Bullets,,San Antonio Spurs,
33,"December 26, 1976",San Antonio Spurs,,Kansas City Kings,17-16
34,"December 28, 1976",Philadelphia 76ers,,San Antonio Spurs,18-16
