County,Obama,Votes,Romney,Votes.1,Others,Votes.2,Total
Bernalillo,55.55%,147183,39.35%,104242,5.10%,13517,264942
Catron,26.38%,560,70.37%,1494,3.25%,69,2123
Chaves,32.28%,6641,64.77%,13327,2.95%,607,20575
Cibola,60.18%,4907,36.37%,2966,3.45%,281,8154
Colfax,49.05%,2828,46.83%,2700,4.11%,237,5765
Curry,29.51%,4019,67.91%,9250,2.58%,352,13621
DeBaca,31.82%,287,64.97%,586,3.22%,29,902
Dona Ana,55.97%,36778,41.07%,26988,2.96%,1946,65712
Eddy,31.83%,6110,65.36%,12546,2.81%,539,19195
Grant,55.00%,7009,41.48%,5286,3.52%,449,12744
Guadalupe,69.68%,1478,26.12%,554,4.20%,89,2121
Harding,43.26%,260,54.41%,327,2.33%,14,601
Hidalgo,51.42%,995,46.46%,899,2.12%,41,1935
Lea,23.98%,4080,73.75%,12548,2.27%,387,17015
Lincoln,31.82%,2940,64.51%,5961,3.67%,339,9240
Los Alamos,48.72%,5191,45.02%,4796,6.26%,667,10654
Luna,47.77%,3583,48.93%,3670,3.29%,247,7500
McKinley,72.08%,15363,25.43%,5420,2.49%,530,21313
Mora,74.85%,1952,22.81%,595,2.34%,61,2608
Otero,34.15%,6811,62.23%,12412,3.62%,723,19946
Quay,37.32%,1384,59.39%,2202,3.29%,122,3708
Rio Arriba,74.74%,11389,22.13%,3373,3.13%,477,15239
Roosevelt,28.92%,1730,67.73%,4052,3.36%,201,5983
San Juan,34.11%,15688,62.57%,28779,3.32%,1527,45994
San Miguel,76.86%,8751,20.04%,2281,3.10%,353,11385
Sandoval,50.29%,26976,45.17%,24228,4.53%,2432,53636
Santa Fe,73.37%,50097,22.48%,15351,4.15%,2832,68280
Sierra,38.49%,1964,57.39%,2928,4.12%,210,5102
Socorro,56.37%,4047,37.89%,2720,5.74%,412,7179
Taos,78.06%,11855,17.84%,2710,4.10%,623,15188
Torrance,37.86%,2414,55.22%,3521,6.92%,441,6376
Union,26.83%,472,70.27%,1236,2.90%,51,1759
Valencia,48.73%,13473,46.25%,12788,5.01%,1386,27647
