County,FIPS Code,County Seat,Created,Origin,Etymology,Population estimate (2011),Area
Alamance County,1,Graham,1849,Orange County,"The Battle of Alamance which was derived from the local Native American word meaning \blue clay\"" found in the Great Alamance Creek""","153,291","435 sq mi (1,127 km2)"
Alexander County,3,Taylorsville,1847,"Caldwell County, Iredell County, and Wilkes County","William J. Alexander, member of the legislature and Speaker of the North Carolina House of Commons","37,087",263 sq mi (681 km2)
Alleghany County,5,Sparta,1859,Ashe County,"Derived from a corruption of the Delaware Indian name for the Allegheny and Ohio Rivers and is said to have meant \a fine stream\""""","11,052",236 sq mi (611 km2)
Anson County,7,Wadesboro,1750,Bladen County,,"26,143","537 sq mi (1,391 km2)"
Ashe County,9,Jefferson,1799,Wilkes County,,"27,143","427 sq mi (1,106 km2)"
Avery County,11,Newland,1911,"Caldwell County, Mitchell County, and Watauga County",,"17,572",247 sq mi (640 km2)
Beaufort County,13,Washington,1712,Original county,"Henry Somerset, Duke of Beaufort, who in 1709 became one of the Lords Proprietor","47,691","959 sq mi (2,484 km2)"
Bertie County,15,Windsor,1722,Chowan County,"James or Henry Bertie, two Lords Proprietor of colonial North Carolina","20,874","741 sq mi (1,919 km2)"
Bladen County,17,Elizabethtown,1734,New Hanover County,"Martin Bladen, a member of the Board of Trade","35,190","887 sq mi (2,297 km2)"
Brunswick County,19,Bolivia,1764,Bladen County and New Hanover County,,"110,097","1,050 sq mi (2,719 km2)"
Buncombe County,21,Asheville,1791,Burke County and Rutherford County,"Edward Buncombe, a Revolutionary soldier, who was wounded and captured at the Battle of Germantown, and died a paroled prisoner in Philadelphia","241,419","660 sq mi (1,709 km2)"
Burke County,23,Morganton,1777,Rowan County,,"90,904","515 sq mi (1,334 km2)"
Cabarrus County,25,Concord,1792,Mecklenburg County,,"181,468",365 sq mi (945 km2)
Caldwell County,27,Lenoir,1841,Burke County and Wilkes County,,"82,395","474 sq mi (1,228 km2)"
Camden County,29,Camden,1777,Pasquotank County,,"10,014",306 sq mi (793 km2)
Carteret County,31,Beaufort,1722,Craven County,,"67,373","1,341 sq mi (3,473 km2)"
Caswell County,33,Yanceyville,1777,Orange County,,"23,403","428 sq mi (1,109 km2)"
Catawba County,35,Newton,1842,Lincoln County,Catawba Nation,"154,181","414 sq mi (1,072 km2)"
Chatham County,37,Pittsboro,1771,Orange County,,"64,195","709 sq mi (1,836 km2)"
Cherokee County,39,Murphy,1839,Macon County,Cherokee Nation,"27,194","497 sq mi (1,287 km2)"
Chowan County,41,Edenton,1668,Albemarle County,Chowan Native American tribe,"14,831",233 sq mi (603 km2)
Clay County,43,Hayesville,1861,Cherokee County,,"10,563",221 sq mi (572 km2)
Cleveland County,45,Shelby,1841,Lincoln County and Rutherford County,,"97,489","469 sq mi (1,215 km2)"
Columbus County,47,Whiteville,1808,Bladen County and Brunswick County,,"57,712","954 sq mi (2,471 km2)"
Craven County,49,New Bern,1705,Bath County,,"104,786","774 sq mi (2,005 km2)"
Cumberland County,51,Fayetteville,1754,Bladen County,,"324,885","658 sq mi (1,704 km2)"
Currituck County,53,Currituck,1668,Albemarle County,"Traditionally said to be an American Indian word for wild geese, also rendered \Coratank\""""","23,955","526 sq mi (1,362 km2)"
Dare County,55,Manteo,1870,"Currituck County, Hyde County, and Tyrrell County","Virginia Dare (b. 1587), the first child born of English parents in America","34,307","1,562 sq mi (4,046 km2)"
Davidson County,57,Lexington,1822,Rowan County,,"162,695","567 sq mi (1,469 km2)"
Davie County,59,Mocksville,1836,Rowan County,,"41,552",267 sq mi (692 km2)
Duplin County,61,Kenansville,1750,New Hanover County,,"59,542","819 sq mi (2,121 km2)"
Durham County,63,Durham,1881,Orange County and Wake County,The city of Durham which was named in honor of Dr. Bartlett Snipes Durham who donated the land on which the railroad station was located,"273,392",298 sq mi (772 km2)
Edgecombe County,65,Tarboro,1741,Bertie County,,"56,041","507 sq mi (1,313 km2)"
Forsyth County,67,Winston-Salem,1849,Stokes County,"Benjamin Forsyth (d. 1814), an American officer during the War of 1812","354,952","413 sq mi (1,070 km2)"
Franklin County,69,Louisburg,1779,Bute County,,"61,140","495 sq mi (1,282 km2)"
Gaston County,71,Gastonia,1846,Lincoln County,,"207,031",364 sq mi (943 km2)
Gates County,73,Gatesville,1779,"Chowan County, Hertford County, and Perquimans County",,"12,043",346 sq mi (896 km2)
Graham County,75,Robbinsville,1872,Cherokee County,,"8,802",302 sq mi (782 km2)
Granville County,77,Oxford,1746,Edgecombe County,,"59,976","537 sq mi (1,391 km2)"
Greene County,79,Snow Hill,1799,Dobbs County Originally named Glasgow County,,"21,556",266 sq mi (689 km2)
Guilford County,81,Greensboro,1771,Orange County and Rowan County,,"495,279","658 sq mi (1,704 km2)"
Halifax County,83,Halifax,1758,Edgecombe County,,"54,173","731 sq mi (1,893 km2)"
Harnett County,85,Lillington,1855,Cumberland County,,"119,256","601 sq mi (1,557 km2)"
Haywood County,87,Waynesville,1808,Buncombe County,,"58,855","555 sq mi (1,437 km2)"
Henderson County,89,Hendersonville,1838,Buncombe County,,"107,927",375 sq mi (971 km2)
Hertford County,91,Winton,1759,"Bertie County, Chowan County, and Northampton County",,"24,433",360 sq mi (932 km2)
Hoke County,93,Raeford,1911,Cumberland County and Robeson County,,"49,272","392 sq mi (1,015 km2)"
Hyde County,95,Swan Quarter,1712,Original county Originally named Wickham County,,"5,822","1,424 sq mi (3,688 km2)"
Iredell County,97,Statesville,1788,Rowan County,,"161,202","597 sq mi (1,546 km2)"
Jackson County,99,Sylva,1851,Haywood County and Macon County,,"40,285","494 sq mi (1,279 km2)"
Johnston County,101,Smithfield,1746,Craven County,,"172,595","796 sq mi (2,062 km2)"
Jones County,103,Trenton,1778,Craven County,,"10,020","473 sq mi (1,225 km2)"
Lee County,105,Sanford,1907,Chatham County and Moore County,,"58,752",259 sq mi (671 km2)
Lenoir County,107,Kinston,1791,Dobbs County Originally named Glasgow County,,"59,339","402 sq mi (1,041 km2)"
Lincoln County,109,Lincolnton,1779,Tryon County,,"78,932",307 sq mi (795 km2)
McDowell County,111,Marion,1842,Burke County and Rutherford County,,"45,104","446 sq mi (1,155 km2)"
Macon County,113,Franklin,1828,Haywood County,,"34,074","519 sq mi (1,344 km2)"
Madison County,115,Marshall,1851,Buncombe County and Yancey County,,"20,816","452 sq mi (1,171 km2)"
Martin County,117,Williamston,1774,Halifax County and Tyrrell County,,"24,180","461 sq mi (1,194 km2)"
Mecklenburg County,119,Charlotte,1762,Anson County,,"944,373","546 sq mi (1,414 km2)"
Mitchell County,121,Bakersville,1861,"Burke County, Caldwell County, McDowell County, Watauga County, and Yancey County",,"15,445",222 sq mi (575 km2)
Montgomery County,123,Troy,1779,Anson County,,"27,667","502 sq mi (1,300 km2)"
Moore County,125,Carthage,1784,Cumberland County,,"89,352","706 sq mi (1,829 km2)"
Nash County,127,Nashville,1777,Edgecombe County,,"96,116","543 sq mi (1,406 km2)"
New Hanover County,129,Wilmington,1729,Craven County,"The royal family of England, members of the House of Hanover","206,189",328 sq mi (850 km2)
Northampton County,131,Jackson,1741,Bertie County,,"21,893","551 sq mi (1,427 km2)"
Onslow County,133,Jacksonville,1734,New Hanover County,,"179,716","909 sq mi (2,354 km2)"
Orange County,135,Hillsborough,1752,"Bladen County, Granville County, and Johnston County",,"135,755","401 sq mi (1,039 km2)"
Pamlico County,137,Bayboro,1872,Beaufort County and Craven County,Pamlico Sound and the Pamlico Native American tribe,"13,197","566 sq mi (1,466 km2)"
Pasquotank County,139,Elizabeth City,1668,Albemarle County,"Derived from the Native American word pasketanki which meant \where the current of the stream divides or forks\""""","40,696",289 sq mi (749 km2)
Pender County,141,Burgaw,1875,New Hanover County,,"53,399","933 sq mi (2,416 km2)"
Perquimans County,143,Hertford,1668,Albemarle County,Perquimans Native American tribe,"13,487",329 sq mi (852 km2)
Person County,145,Roxboro,1791,Caswell County,"Thomas Person, an American Revolutionary War patriot","39,637","404 sq mi (1,046 km2)"
Pitt County,147,Greenville,1760,Beaufort County,,"171,134","655 sq mi (1,696 km2)"
Polk County,149,Columbus,1855,Henderson County and Rutherford County,,"20,256",239 sq mi (619 km2)
Randolph County,151,Asheboro,1779,Guilford County,,"142,358","790 sq mi (2,046 km2)"
Richmond County,153,Rockingham,1779,Anson County,,"46,611","480 sq mi (1,243 km2)"
Robeson County,155,Lumberton,1787,Bladen County,"Thomas Robeson, an officer in the American Revolutionary War","135,517","951 sq mi (2,463 km2)"
Rockingham County,157,Wentworth,1785,Guilford County,,"93,329","572 sq mi (1,481 km2)"
Rowan County,159,Salisbury,1753,Anson County,"Matthew Rowan (d. 1769), was the acting Governor of colonial North Carolina following the death of Governor Nathaniel Rice","138,019","524 sq mi (1,357 km2)"
Rutherford County,161,Rutherfordton,1779,Tryon County,,"67,538","566 sq mi (1,466 km2)"
Sampson County,163,Clinton,1784,Duplin County,"John Sampson, a member of Josiah Martin's council","63,734","947 sq mi (2,453 km2)"
Scotland County,165,Laurinburg,1899,Richmond County,"The country Scotland, part of the United Kingdom","35,861",321 sq mi (831 km2)
Stanly County,167,Albemarle,1841,Montgomery County,,"60,636","404 sq mi (1,046 km2)"
Stokes County,169,Danbury,1789,Surry County,"John Stokes, a soldier of the Revolution who was seriously wounded at the Waxhaw massacre","47,242","456 sq mi (1,181 km2)"
Surry County,171,Dobson,1771,Rowan County,"The county of Surrey in England, birthplace of then governor William Tryon","73,714","538 sq mi (1,393 km2)"
Swain County,173,Bryson City,1871,Jackson County and Macon County,,"14,043","541 sq mi (1,401 km2)"
Transylvania County,175,Brevard,1861,Henderson County and Jackson County,"Derived from the Latin words, trans meaning across and sylva meaning woods","32,820",381 sq mi (987 km2)
Tyrrell County,177,Columbia,1729,"Chowan County, Currituck County, and Pasquotank County","John Tyrrell, at one time was a Lords Proprietor","4,364","600 sq mi (1,554 km2)"
Union County,179,Monroe,1842,Anson County and Mecklenburg County,Created as a compromise after a dispute between local Whigs and Democrats as to whether it should be named Clay or Jackson county,"205,463","640 sq mi (1,658 km2)"
Vance County,181,Henderson,1881,"Franklin County, Granville County, and Warren County",,"45,307",270 sq mi (699 km2)
Wake County,183,Raleigh,1771,"Cumberland County, Johnston County, and Orange County","Margaret Wake, the wife of British colonial governor William Tryon","929,780","857 sq mi (2,220 km2)"
Warren County,185,Warrenton,1779,Bute County,,"20,861","444 sq mi (1,150 km2)"
Washington County,187,Plymouth,1799,Tyrrell County,,"12,973","424 sq mi (1,098 km2)"
Watauga County,189,Boone,1849,"Ashe County, Caldwell County, Wilkes County, and Yancey County","The Watauga River, which came from a Native American word meaning \beautiful water\""""","51,333",313 sq mi (811 km2)
Wayne County,191,Goldsboro,1779,Dobbs County Originally named Glasgow County,,"123,697","557 sq mi (1,443 km2)"
Wilkes County,193,Wilkesboro,1777,Surry County,,"68,984","760 sq mi (1,968 km2)"
Wilson County,195,Wilson,1855,"Edgecombe County, Johnston County, Nash County, and Wayne County","Louis D. Wilson, a state legislator from Edgecombe County who died of fever at Veracruz during the Mexican-American War","81,452",374 sq mi (969 km2)
Yadkin County,197,Yadkinville,1850,Surry County,The Yadkin River,"38,279",337 sq mi (873 km2)
Yancey County,199,Burnsville,1833,Buncombe County and Burke County,,"17,701",313 sq mi (811 km2)
