Rank,Bib,Name,Nation,Run 1,Rank.1,Run 2,Rank.2,Total,Difference
,1,Tina Maze,Slovenia,1:07.05,1.0,1:13.49,15.0,2:20.54,
,9,Federica Brignone,Italy,1:07.39,2.0,1:13.24,10.0,2:20.63,0.09
,3,Tessa Worley,France,1:09.17,19.0,1:11.85,1.0,2:21.02,0.48
4.0,20,Denise Karbon,Italy,1:08.24,9.0,1:13.04,7.0,2:21.28,0.74
5.0,6,Viktoria Rebensburg,Germany,1:08.04,6.0,1:13.38,13.0,2:21.42,0.88
6.0,13,Manuela Mölgg,Italy,1:07.99,5.0,1:13.44,14.0,2:21.43,0.89
7.0,26,Jessica Lindell-Vikarby,Sweden,1:08.94,14.0,1:12.61,5.0,2:21.55,1.01
8.0,19,Marlies Schild,Austria,1:09.16,18.0,1:12.58,4.0,2:21.74,1.2
9.0,16,Anja Pärson,Sweden,1:08.23,8.0,1:13.52,16.0,2:21.75,1.21
10.0,14,Taïna Barioz,France,1:09.59,23.0,1:12.20,2.0,2:21.79,1.25
10.0,8,Elisabeth Görgl,Austria,1:07.76,3.0,1:14.03,25.0,2:21.79,1.25
12.0,5,Kathrin Zettel,Austria,1:08.04,6.0,1:13.80,21.0,2:21.84,1.3
13.0,2,Tanja Poutiainen,Finland,1:08.59,11.0,1:13.29,11.0,2:21.88,1.34
14.0,12,Anemone Marmottan,France,1:08.54,10.0,1:13.80,21.0,2:22.34,1.8
15.0,31,Veronika Zuzulova,Slovakia,1:09.76,25.0,1:12.81,6.0,2:22.57,2.03
16.0,11,Julia Mancuso,United States,1:08.82,12.0,1:13.77,20.0,2:22.59,2.05
17.0,27,Sara Hector,Sweden,1:10.37,30.0,1:12.30,3.0,2:22.67,2.13
18.0,24,Lena Durr,Germany,1:08.94,14.0,1:13.75,19.0,2:22.69,2.15
19.0,29,Anne-Sophie Barthet,France,1:09.55,21.0,1:13.18,9.0,2:22.73,2.19
20.0,17,Lara Gut,Switzerland,1:08.91,13.0,1:13.92,24.0,2:22.83,2.29
21.0,21,Sarah Schleper,United States,1:09.75,24.0,1:13.12,8.0,2:22.87,2.33
