Name,First held,Country,Earliest attendance figure known,1998 attendance,2000 attendance,2002 Attendance,2004 attendance,2006 attendance,2008 attendance,2010 attendance,2012 Attendance
Project A-kon,1990,USA,380 (1990),1931.0,4500.0,6420.0,9449.0,12459.0,15324.0,17596.0,21982.0
AnimeCon,1991,USA,2000 (1991),,,,,,,,
AnimeFEST,1992,USA,105 (1992),650.0,750.0,1800.0,2725.0,4127.0,,,
AnimeExpo,1992,USA,1750 (1992),4883.0,9700.0,15250.0,25000.0,40647.0,43000.0,44000.0,49400.0
FanimeCon,1994,USA,200 (1994),1700.0,2300.0,4600.0,6122.0,10000.0,14926.0,16000.0,21000.0
Animethon,1995,USA,80(1995),2500.0,1800.0,,4700.0,3450.0,4679.0,4753.0,6404.0
Otakon,1994,USA,350 (1994),2500.0,7500.0,12880.0,20899.0,22302.0,26262.0,29274.0,32724.0
Katsucon,1995,USA,500 (1995),1400.0,2300.0,3000.0,4300.0,5664.0,6300.0,,12614.0
Anime Weekend Atlanta,1997,USA,1350 (1997),1400.0,2700.0,,5837.0,8949.0,11101.0,12718.0,13472.0
Anime North,1997,Canada,800 (1997),747.0,1001.0,3000.0,7800.0,11286.0,13300.0,16800.0,22385.0
Nan Desu Kan,2000,USA,,,1477.0,2467.0,2859.0,5018.0,5975.0,,
AnimeIowa,1997,USA,150 (1997),300.0,700.0,,,,,,
Animazement,1998,USA,735 (1998),735.0,1640.0,2050.0,2500.0,3100.0,5374.0,7070.0,
Anime Central,1998,USA,1203 (1998),1203.0,2117.0,4520.0,7406.0,11866.0,13900.0,19511.0,24316.0
Otafest,1999,USA,700 (1999),,900.0,,,,4042.0,3697.0,
Sakura-Con,2000,USA,866(2000),313.0,866.0,2328.0,4425.0,7500.0,13600.0,18002.0,21457.0
Middle Tennessee Anime Convention,1999,USA,300 (1999),,,400.0,1000.0,2500.0,3500.0,4000.0,7200.0
Shoujocon,2000,USA,456(2000),456.0,1229.0,,,,,,
Anime Festival Orlando,2000,USA,450(2000),,450.0,,,,,,
J-Popcon,2000,Denmark,,,200.0,,,1000.0,,2200.0,
SugoiCon,2000,USA,522(2000),,522.0,930.0,1333.0,1400.0,,,
Nekocon,1998,USA,506(1998),506.0,1100.0,,2368.0,2500.0,3249.0,3788.0,
Ohayocon,2001,USA,654(2001),,,1200.0,3042.0,4257.0,7000.0,10120.0,40.0
Yaoi-Con,2001,USA,350 (2001),,,,,,,,
Big Apple Anime Fest,2001,USA,3500(2001),,,7500.0,,,,,
Ushicon,2002,USA,800(2002),,,800.0,2200.0,,,,
Kumoricon,2003,USA,419(2003),,,,1251.0,2250.0,4400.0,4055.0,
Manifest,2001,Australia,3500(2006),,,,,3500.0,4800.0,,
Ikasucon,2003,USA,886(2004),,,,886.0,,,,
No Brand Con,2002,USA,115(2002),,,115.0,300.0,605.0,1075.0,,
Tekko,2003,USA,600(2003),,,,,1771.0,,3522.0,3600.0
Anime Detour,2004,USA,1200(2004),,,,1200.0,2464.0,3000.0,,
PortConMaine,2002,USA,250(2002),,,250.0,811.0,1400.0,1650.0,2072.0,2306.0
Anime Friends,2003,Brazil,25000(2004),,,,25000.0,50000.0,120000.0,,
Metrocon,2003,USA,,,,2400.0,4000.0,,6665.0,8033.0,
Anime Vegas,2004,USA,1019(2004),,,,1019.0,2774.0,3100.0,,
Anime Nebraskon,2004,USA,,,,,300.0,,,2000.0,
Tsubasacon,2004,USA,407(2004),,,,407.0,564.0,723.0,1105.0,1320.0
Kawaii Kon,2005,Hawaii,2610 (2005),,,,,2610.0,3495.0,4877.0,6077.0
MechaCon,2005,USA,750 (2005),,,,,1100.0,2065.0,3480.0,4780.0
Naka-Kon,2005,USA,300 (2005),,,,,,2091.0,3862.0,5000.0
RealmsCon,2005,USA,1148(2006),,,,,1148.0,1542.0,,
Sac-Anime,2005,USA,2000(2006),,,,,2000.0,,,5000.0
AniZona,2005,USA,850(2005),,,,,1200.0,,,
Aurora-Con,2006,USA,623(2006),,,,,623.0,,,
Youmacon,2005,USA,1078(2005),,,,,2125.0,4494.0,,12156.0
Anime Punch,2005,USA,200(2005),,,,,977.0,1337.0,1206.0,
Animefest.cz,2004,Czech Republic,250(2004),,,,250.0,450.0,1000.0,1300.0,
Daigacon,2007,USA,257(2007),,,,,,,,
Matsuricon,2006,USA,25(2006),,,,,25.0,684.0,1403.0,
Shinboku-con,2007,USA,193(2007),,,,,,467.0,623.0,703.0
Zenkaikon,2005,USA,450(2006),,,,,450.0,1352.0,,2736.0
ConBravo!,2010,USA,350(2010),,,,,,,350.0,2119.0
Oni-Con,2004,USA,3000(2004),,,,3000.0,6000.0,,,
Otakuthon,2006,USA,1872(2006),,,,,1872.0,3048.0,7310.0,11000.0
G-Anime,2009,USA,828(2009),,,,,,,1029.0,1486.0
Senshi-Con,2005,USA,300(2005),,,,,,1200.0,1000.0,1600.0
Anime Matsuri,2007,USA,,,,,,,,,10422.0
Anime-ZAP!,2010,USA,158(2010),,,,,,,158.0,
Aniwave,2010,USA,400(2010),,,,,,,400.0,
Saboten Con,2008,USA,2730(2011),,,,,,,,3432.0
