Round,Round.1,Race,Date,Pole Position,Fastest Lap,Winning Club,Winning Team,Report,Circuit,Winning Driver,Winning Privateer
1,R1,Donington Park,August 31,Beijing Guoan,Beijing Guoan,Beijing Guoan,Zakspeed,Report,,,
1,R2,Donington Park,August 31,,PSV Eindhoven,Sevilla FC,GTA Motor Competicion,Report,,,
2,R1,Nurburgring,September 21,A.C. Milan,PSV Eindhoven,A.C. Milan,Scuderia Playteam,Report,,,
2,R2,Nurburgring,September 21,,SC Corinthians,PSV Eindhoven,Azerti Motorsport,Report,,,
3,R1,Zolder,October 5,Borussia Dortmund,Liverpool F.C.,Liverpool F.C.,Hitech Junior Team,Report,,,
3,R2,Zolder,October 5,,Atletico Madrid,Beijing Guoan,Zakspeed,Report,,,
4,R1,Estoril,October 19,A.S. Roma,Atletico Madrid,Liverpool F.C.,Hitech Junior Team,Report,,,
4,R2,Estoril,October 19,,Borussia Dortmund,Al Ain,Azerti Motorsport,Report,,,
5,R1,Vallelunga,November 2,Liverpool F.C.,Beijing Guoan,Beijing Guoan,Zakspeed,Report,,,
5,R2,Vallelunga,November 2,,Atletico Madrid,F.C. Porto,Hitech Junior Team,Report,,,
6,R1,Jerez,November 23,Liverpool F.C.,R.S.C. Anderlecht,A.C. Milan,Scuderia Playteam,Report,,,
6,R2,Jerez,November 23,,Beijing Guoan,Borussia Dortmund,Zakspeed,Report,,,
1,R1,,10 May,Mattias Ekström,Fredrik Ekblom,,Kristoffersson Motorsport,,Mantorp Park,Mats Linden,Richard Göransson
1,R2,,10 May,,Peggen Andersson,,BMW Dealer Team,,Mantorp Park,Fredrik Ekblom,Pontus Mörth
2,R3,,31 May,Jan Nilsson,Jan Nilsson,,Flash Engineering,,Karlskoga-Gelleråsen,Jan Nilsson,Pontus Mörth
2,R4,,31 May,,Fredrik Ekblom,,BMW Dealer Team,,Karlskoga-Gelleråsen,Peggen Andersson,Pontus Mörth
3,R5,,28 June,Mattias Ekström,Fredrik Ekblom,,Flash Engineering,,Anderstorp,Jan Nilsson,Pontus Mörth
3,R6,,28 June,,Peggen Andersson,,BMW Dealer Team,,Anderstorp,Peggen Andersson,Georg Bakajev
4,R7,,9 July,Jens Edman,Jens Edman,,Flash Engineering,,Falkenberg,Jan Nilsson,Pontus Mörth
4,R8,,9 July,,Mattias Ekström,,Flash Engineering,,Falkenberg,Jens Edman,Pontus Mörth
5,R9,,6 September,Fredrik Ekblom,Fredrik Ekblom,,BMW Dealer Team,,Ring Knutstorp,Fredrik Ekblom,Pontus Mörth
5,R10,,6 September,,Mats Linden,,Flash Engineering,,Ring Knutstorp,Jan Nilsson,Georg Bakajev
6,R11,,27 September,Tommy Kristoffersson,Fredrik Ekblom,,BMW Dealer Team,,Mantorp Park,Fredrik Ekblom,Pontus Mörth
6,R12,,27 September,,Peggen Andersson,,Flash Engineering,,Mantorp Park,Jan Nilsson,Pontus Mörth
