Season,Competition,Round,Club,1st Leg,2nd Leg,Home,Away
,UEFA Cup,QR,CSKA Sofia,,,,
2003.0,UEFA Intertoto Cup,1R,Omagh Town,,,,
2003.0,UEFA Intertoto Cup,2R,Cibalia,,,,
,UEFA Cup,1Q,Nistru Otaci,,,,
,UEFA Champions League,1Q,Široki Brijeg,,,,
2007.0,UEFA Intertoto Cup,1R,Ararat Yerevan,,,,
2007.0,UEFA Intertoto Cup,2R,Chornomorets Odesa,,,,
2008.0,UEFA Intertoto Cup,1R,Cracovia Krakow,,,,
2008.0,UEFA Intertoto Cup,2R,Sturm Graz,,,,
,UEFA Europa League,2Q,Ventspils,,,,
,UEFA Europa League,2Q,Ried,,,,
,UEFA Europa League,2Q,Milsami,,,,
,UEFA Cup Winners' Cup,1R,HJK Helsinki,,,,
,UEFA Cup,1R,FC Barcelona,,,,
,UEFA Cup,1R,FK Partizan Beograd,,,,
,UEFA Cup,2R,Wismut Aue,,,,
,UEFA Cup,1/16,FC Barcelona,,,,
,UEFA Cup Winners' Cup,1R,Lech Poznań,,,,
,UEFA Cup Winners' Cup,1R,Olympiacos Piraeus,,,,
,UEFA European Cup,1R,IFK Göteborg,,,,
,UEFA Cup Winners' Cup,QR,Humenne,,,,
,UEFA Europa League,2QR,Motherwell,,,,
,UEFA Europa League,1QR,FK Budućnost,,,,
,,2QR,FK Jablonec 97,,,,
,UEFA Europa League,1QR,Budapest Honved,,,,
