round,round 1,circuit,date,pole position,fastest lap,winning rider,winning driver,winning team,trophy winner
1,R1,Jerez,18 March,Raymond Roche,Stephane Mertens,Raymond Roche,,,
1,R2,Jerez,18 March,Raymond Roche,Raymond Roche,Raymond Roche,,,
2,R1,Donington,16 April,Giancarlo Falappa,Rob Phillis,Fred Merkel,,,
2,R2,Donington,16 April,Giancarlo Falappa,Raymond Roche,Giancarlo Falappa,,,
3,R1,Hungaroring,30 April,Malcolm Campbell,Raymond Roche,Fred Merkel,,,
3,R2,Hungaroring,30 April,Malcolm Campbell,Fred Merkel,Raymond Roche,,,
4,R1,Hockenheim,6 May,Raymond Roche,Fred Merkel,Fred Merkel,,,
4,R2,Hockenheim,6 May,Raymond Roche,Raymond Roche,Stephane Mertens,,,
5,R1,Mosport,3 June,Giancarlo Falappa,Raymond Roche,Raymond Roche,,,
5,R2,Mosport,3 June,Giancarlo Falappa,Jamie James,Raymond Roche,,,
6,R1,Brainerd,10 June,Doug Chandler,Doug Chandler,Stephane Mertens,,,
6,R2,Brainerd,10 June,Doug Chandler,Fabrizio Pirovano,Doug Chandler,,,
7,R1,Österreichring,1 July,Stephane Mertens,Rob McElnea,Fabrizio Pirovano,,,
7,R2,Österreichring,1 July,Stephane Mertens,Stephane Mertens,Stephane Mertens,,,
8,R1,Sugo,26 August,Raymond Roche,Raymond Roche,Raymond Roche,,,
8,R2,Sugo,26 August,Raymond Roche,Peter Goddard,Doug Chandler,,,
9,R1,Le Mans,9 September,Baldassarre Monti,Raymond Roche,Raymond Roche,,,
9,R2,Le Mans,9 September,Baldassarre Monti,Jamie James,Raymond Roche,,,
10,R1,Monza,7 October,Baldassarre Monti,Rob Phillis,Fabrizio Pirovano,,,
10,R2,Monza,7 October,Baldassarre Monti,Rob Phillis,Fabrizio Pirovano,,,
11,R1,Shah Alam,4 November,Rob Phillis,Fabrizio Pirovano,Fabrizio Pirovano,,,
11,R2,Shah Alam,4 November,Rob Phillis,Raymond Roche,Fabrizio Pirovano,,,
12,R1,Phillip Island,11 November,Peter Goddard,Fabrizio Pirovano,Peter Goddard,,,
12,R2,Phillip Island,11 November,Peter Goddard,Malcolm Campbell,Rob Phillis,,,
13,R1,Manfeild,18 November,Rob Phillis,Brian Morrison,Terry Rymer,,,
13,R2,Manfeild,18 November,Rob Phillis,Raymond Roche,Rob Phillis,,,
1,,"ACI Vallelunga Circuit, Campagnano di Roma",7 April,Miloš Pavlović,,,Miloš Pavlović,Target Racing,Nino Famà
2,,Misano World Circuit,28 April,Miloš Pavlović,,,Miloš Pavlović,Target Racing,Giovanni Faraonio
3,,"Autodromo di Pergusa, Enna",19 May,Miloš Pavlović,,,Philip Cloostermans,Azeta Racing,Carmine Tancredi
4,,Autodromo Nazionale Monza,30 June,Philip Cloostermans,,,Philip Cloostermans,Azeta Racing,Carmine Tancredi
5,,"Autodromo Riccardo Paletti, Varano",21 July,Miloš Pavlović,,,Miloš Pavlović,Target Racing,Carmine Tancredi
6,,"Autodromo Enzo e Dino Ferrari, Imola",1 September,Vitantonio Liuzzi,,,Vitantonio Liuzzi,Bertram Schäfer Racing,Silvio Alberti
7,,"Autodromo del Levante, Binetto",8 September,Christiano Citron,,,Miloš Pavlović,Target Racing,Carmine Tancredi
8,,"Mugello Circuit, Scarperia",6 October,Miloš Pavlović,,,Miloš Pavlović,Target Racing,Dino Lusuardi
9,,"Autodromo dell'Umbria, Magione",20 October,Andreas Zuber,,,Christiano Citron,Target Racing,Alberto Morelli
